First Last,First,Last,Company,Domain
Brian Park,Brian,Park,Nabee Socks,www.nabeesocks.com
Julia Barry,Julia,Barry,Adelante Shoe Co.,www.adelanteshoes.com
Sam Martin,Sam,Martin,Apothecary 87 Ltd,www.apothecary87.co.uk
Cristian Badia,Cristian,Badia,laagam,www.laagam.com
Alejandro Chahin Hiring A Designer,Alejandro,Designer,Mott & Bow,www.mottandbow.com
Sevag Kazanci,Sevag,Kazanci,Parks Project,www.parksproject.us
Dr.Rayan Bahabri,Dr.Rayan,Bahabri,Medical Outfit,www.medicaloutfit.com
Jack Bensason,Jack,Bensason,tre'StiQue,www.trestique.com
Paco Tormo,Paco,Tormo,Singularu,www.singularu.com
Stephanie Beard,Stephanie,Beard,Esby,www.esbyapparel.com
Larry Yousuf,Larry,Yousuf,Skin Deva,www.skindeva.com
Gideon Bright,Gideon,Bright,dryrobe Ltd,www.dryrobe.com
Andrew Jameson Langsdorf,Andrew,Langsdorf,Alamere Designs,www.alameredesigns.com
Carmen Chen Wu,Carmen,Wu,Caraa,www.caraasport.com
Abdallah Alhariri,Abdallah,Alhariri,Annah Hariri,www.annahariri.com
Chris Young,Chris,Young,"Circumference, NYC",www.circumferencenyc.com
Ido Magal,Ido,Magal,Lavido,www.lavido.com
Elyse Kaye,Elyse,Kaye,Bloom Bras,www.bloombras.com
Heela Yang,Heela,Yang,Sol de Janeiro,www.soldejaneiro.com
Shaina Mote,,,Shaina Mote,www.shainamote.com
